Cidade,cod_ibge,sigla,Nome Sigla
Votuporanga,35,SP,São Paulo
Marília,35,SP,São Paulo
Campinas,35,SP,São Paulo
Araraquara,35,SP,São Paulo
São Carlos,35,SP,São Paulo
Andradina,35,SP,São Paulo
Botucatu,35,SP,São Paulo
Guaratinguetá,35,SP,São Paulo
Jales,35,SP,São Paulo
Capão Bonito,35,SP,São Paulo
Araçatuba,35,SP,São Paulo
Ituverava,35,SP,São Paulo
Bananal,35,SP,São Paulo
Limeira,35,SP,São Paulo
Tupã,35,SP,São Paulo
Catanduva,35,SP,São Paulo
Mogi Mirim,35,SP,São Paulo
Guarulhos,35,SP,São Paulo
Assis,35,SP,São Paulo
Bragança Paulista,35,SP,São Paulo
Auriflama,35,SP,São Paulo
Itapeva,35,SP,São Paulo
Jaú,35,SP,São Paulo
Registro,35,SP,São Paulo
Barretos,35,SP,São Paulo
Ribeirão Preto,35,SP,São Paulo
Osasco,35,SP,São Paulo
Jaboticabal,35,SP,São Paulo
Ourinhos,35,SP,São Paulo
Santos,35,SP,São Paulo
Mogi das Cruzes,35,SP,São Paulo
Tatuí,35,SP,São Paulo
Rio Claro,35,SP,São Paulo
São José dos Campos,35,SP,São Paulo
Lins,35,SP,São Paulo
Franco da Rocha,35,SP,São Paulo
Jundiaí,35,SP,São Paulo
Campos do Jordão,35,SP,São Paulo
Caraguatatuba,35,SP,São Paulo
Itapecerica da Serra,35,SP,São Paulo
Franca,35,SP,São Paulo
Paraibuna/Paraitinga,35,SP,São Paulo
São Paulo,35,SP,São Paulo
Dracena,35,SP,São Paulo
Fernandópolis,35,SP,São Paulo
São Joaquim da Barra,35,SP,São Paulo
Piedade,35,SP,São Paulo
Novo Horizonte,35,SP,São Paulo
Itanhaém,35,SP,São Paulo
Nhandeara,35,SP,São Paulo
Cornélio Procópio,41,PR,Paraná
Cerro Azul,41,PR,Paraná
Rio Negro,41,PR,Paraná
Curitiba,41,PR,Paraná
Goioerê,41,PR,Paraná
Umuarama,41,PR,Paraná
Paranavaí,41,PR,Paraná
Porecatu,41,PR,Paraná
Capanema,41,PR,Paraná
Cascavel,41,PR,Paraná
Astorga,41,PR,Paraná
Paranaguá,41,PR,Paraná
São Mateus do Sul,41,PR,Paraná
Apucarana,41,PR,Paraná
Jaguariaíva,41,PR,Paraná
Ivaiporã,41,PR,Paraná
Campo Mourão,41,PR,Paraná
Assaí,41,PR,Paraná
Toledo,41,PR,Paraná
Francisco Beltrão,41,PR,Paraná
Jacarezinho,41,PR,Paraná
União da Vitória,41,PR,Paraná
Pitanga,41,PR,Paraná
Faxinal,41,PR,Paraná
Pato Branco,41,PR,Paraná
Londrina,41,PR,Paraná
Guarapuava,41,PR,Paraná
Ponta Grossa,41,PR,Paraná
Wenceslau Braz,41,PR,Paraná
Foz do Iguaçu,41,PR,Paraná
Cianorte,41,PR,Paraná
Palmas,41,PR,Paraná
Ibaiti,41,PR,Paraná
Floraí,41,PR,Paraná
Prudentópolis,41,PR,Paraná
Telêmaco Borba,41,PR,Paraná
Irati,41,PR,Paraná
Lapa,41,PR,Paraná
Maringá,41,PR,Paraná
Curitibanos,42,SC,Santa Catarina
Xanxerê,42,SC,Santa Catarina
Ituporanga,42,SC,Santa Catarina
Rio do Sul,42,SC,Santa Catarina
Joaçaba,42,SC,Santa Catarina
Chapecó,42,SC,Santa Catarina
Tabuleiro,42,SC,Santa Catarina
Concórdia,42,SC,Santa Catarina
São Miguel do Oeste,42,SC,Santa Catarina
Tijucas,42,SC,Santa Catarina
Campos de Lages,42,SC,Santa Catarina
Florianópolis,42,SC,Santa Catarina
Blumenau,42,SC,Santa Catarina
Joinville,42,SC,Santa Catarina
Araranguá,42,SC,Santa Catarina
Tubarão,42,SC,Santa Catarina
Itajaí,42,SC,Santa Catarina
Canoinhas,42,SC,Santa Catarina
São Bento do Sul,42,SC,Santa Catarina
Criciúma,42,SC,Santa Catarina
Campanha Meridional,43,RS,Rio Grande do Sul
Passo Fundo,43,RS,Rio Grande do Sul
Restinga Seca,43,RS,Rio Grande do Sul
Ijuí,43,RS,Rio Grande do Sul
Santa Rosa,43,RS,Rio Grande do Sul
Campanha Ocidental,43,RS,Rio Grande do Sul
Carazinho,43,RS,Rio Grande do Sul
Frederico Westphalen,43,RS,Rio Grande do Sul
Cruz Alta,43,RS,Rio Grande do Sul
Montenegro,43,RS,Rio Grande do Sul
Porto Alegre,43,RS,Rio Grande do Sul
Serras de Sudeste,43,RS,Rio Grande do Sul
Guaporé,43,RS,Rio Grande do Sul
Caxias do Sul,43,RS,Rio Grande do Sul
Camaquã,43,RS,Rio Grande do Sul
Erechim,43,RS,Rio Grande do Sul
Lajeado-Estrela,43,RS,Rio Grande do Sul
Osório,43,RS,Rio Grande do Sul
Pelotas,43,RS,Rio Grande do Sul
São Jerônimo,43,RS,Rio Grande do Sul
Santa Cruz do Sul,43,RS,Rio Grande do Sul
Jaguarão,43,RS,Rio Grande do Sul
Sananduva,43,RS,Rio Grande do Sul
Três Passos,43,RS,Rio Grande do Sul
Soledade,43,RS,Rio Grande do Sul
Vacaria,43,RS,Rio Grande do Sul
Santo Ângelo,43,RS,Rio Grande do Sul
Santa Maria,43,RS,Rio Grande do Sul
Cachoeira do Sul,43,RS,Rio Grande do Sul
Cerro Largo,43,RS,Rio Grande do Sul
Gramado-Canela,43,RS,Rio Grande do Sul
Santiago,43,RS,Rio Grande do Sul
Litoral Lagunar,43,RS,Rio Grande do Sul
Não-Me-Toque,43,RS,Rio Grande do Sul
Campanha Central,43,RS,Rio Grande do Sul
Três Lagoas,50,MS,Mato Grosso do Sul
Alto Taquari,50,MS,Mato Grosso do Sul
Dourados,50,MS,Mato Grosso do Sul
Aquidauana,50,MS,Mato Grosso do Sul
Nova Andradina,50,MS,Mato Grosso do Sul
Iguatemi,50,MS,Mato Grosso do Sul
Paranaíba,50,MS,Mato Grosso do Sul
Campo Grande,50,MS,Mato Grosso do Sul
Bodoquena,50,MS,Mato Grosso do Sul
Cassilândia,50,MS,Mato Grosso do Sul
Baixo Pantanal,50,MS,Mato Grosso do Sul
Rosário Oeste,51,MT,Mato Grosso
Canarana,51,MT,Mato Grosso
Alta Floresta,51,MT,Mato Grosso
Alto Araguaia,51,MT,Mato Grosso
Norte Araguaia,51,MT,Mato Grosso
Alto Paraguai,51,MT,Mato Grosso
Médio Araguaia,51,MT,Mato Grosso
Tesouro,51,MT,Mato Grosso
Jauru,51,MT,Mato Grosso
Aripuanã,51,MT,Mato Grosso
Alto Pantanal,51,MT,Mato Grosso
Tangará da Serra,51,MT,Mato Grosso
Parecis,51,MT,Mato Grosso
Primavera do Leste,51,MT,Mato Grosso
Cuiabá,51,MT,Mato Grosso
Sinop,51,MT,Mato Grosso
Colíder,51,MT,Mato Grosso
Alto Guaporé,51,MT,Mato Grosso
Rondonópolis,51,MT,Mato Grosso
Paranatinga,51,MT,Mato Grosso
Alto Teles Pires,51,MT,Mato Grosso
Arinos,51,MT,Mato Grosso
Goiânia,52,GO,Goiás
Entorno de Brasília,52,GO,Goiás
Vale do Rio dos Bois,52,GO,Goiás
Anicuns,52,GO,Goiás
Meia Ponte,52,GO,Goiás
Porangatu,52,GO,Goiás
Chapada dos Veadeiros,52,GO,Goiás
Vão do Paranã,52,GO,Goiás
Iporá,52,GO,Goiás
Anápolis,52,GO,Goiás
Catalão,52,GO,Goiás
Sudoeste de Goiás,52,GO,Goiás
Aragarças,52,GO,Goiás
Rio Vermelho,52,GO,Goiás
Ceres,52,GO,Goiás
Quirinópolis,52,GO,Goiás
Pires do Rio,52,GO,Goiás
São Miguel do Araguaia,52,GO,Goiás
Brasília,53,DF,Distrito Federal
